id_transaksi,id_pelanggan,tanggal,kategori,total_nilai,kota
TRX-00365,PLG-0005,2024-03-10,Elektronik,21538673.87,Palembang
TRX-00366,PLG-0010,2024-04-27,Makanan,196289.62,Surabaya
TRX-00367,PLG-0004,2024-07-04,Makanan,166800.17,Denpasar
TRX-00368,PLG-0031,2024-01-22,Makanan,606149.03,Denpasar
TRX-00369,PLG-0008,2024-07-29,Olahraga,32633433.06,Balikpapan
TRX-00370,PLG-0024,2024-01-23,Makanan,646270.12,Surabaya
TRX-00371,PLG-0032,2024-03-15,Olahraga,6697358.19,Yogyakarta
TRX-00372,PLG-0009,2024-07-04,Fashion,1100464.34,Palembang
TRX-00373,PLG-0038,2024-08-01,Elektronik,34731270.12,Bandung
TRX-00374,PLG-0012,2024-03-10,Elektronik,11454600.78,Denpasar
TRX-00375,PLG-0032,2024-10-10,Otomotif,15971721.75,Yogyakarta
TRX-00376,PLG-0004,2024-09-20,Elektronik,6856486.68,Denpasar
TRX-00377,PLG-0009,2024-05-02,Olahraga,5526890.19,Palembang
TRX-00378,PLG-0010,2024-04-09,Elektronik,20225706.37,Surabaya
TRX-00379,PLG-0001,2024-09-10,Makanan,1364698.11,Makassar
TRX-00380,PLG-0006,2024-07-31,Otomotif,18995372.23,Yogyakarta
TRX-00381,PLG-0039,2024-04-26,Olahraga,7209834.71,Denpasar
TRX-00382,PLG-0015,2024-03-03,Fashion,2461284.27,Semarang
TRX-00383,PLG-0002,2024-12-06,Elektronik,23111538.66,Denpasar
TRX-00384,PLG-0004,2024-11-09,Kesehatan,2045853.03,Denpasar
TRX-00385,PLG-0002,2024-03-28,Fashion,1610969.27,Denpasar
TRX-00386,PLG-0001,2024-03-27,Olahraga,6923947.55,Makassar
TRX-00387,PLG-0041,2024-02-28,Kesehatan,1523914.6,Balikpapan
TRX-00388,PLG-0007,2024-08-03,Elektronik,72027048.96,Denpasar
TRX-00389,PLG-0004,2024-09-21,Makanan,583210.75,Denpasar
TRX-00390,PLG-0013,2024-08-21,Fashion,4248341.64,Semarang
TRX-00391,PLG-0001,2024-12-30,Elektronik,35197719.43,Makassar
TRX-00392,PLG-0003,2024-02-25,Otomotif,2596814.24,Palembang
TRX-00393,PLG-0019,2024-02-10,Kesehatan,1828369.24,Denpasar
TRX-00394,PLG-0015,2024-08-31,Makanan,1201756.68,Semarang
TRX-00395,PLG-0048,2024-04-27,Olahraga,11609933.89,Balikpapan
TRX-00396,PLG-0014,2024-07-14,Makanan,347285.33,Palembang
TRX-00397,PLG-0008,2024-01-04,Otomotif,9989389.39,Balikpapan
TRX-00398,PLG-0023,2024-02-27,Kesehatan,5249204.04,Palembang
TRX-00399,PLG-0038,2024-04-02,Kesehatan,266765.56,Bandung
TRX-00400,PLG-0020,2024-03-13,Elektronik,2413808.05,Denpasar
TRX-00401,PLG-0045,2024-10-08,Olahraga,7137896.55,Surabaya
TRX-00402,PLG-0025,2024-10-20,Fashion,2965625.84,Denpasar
TRX-00403,PLG-0033,2024-01-27,Olahraga,2889264.9,Semarang
TRX-00404,PLG-0001,2024-04-01,Elektronik,49720659.2,Makassar
TRX-00405,PLG-0021,2024-08-30,Makanan,930260.1,Bandung
TRX-00406,PLG-0007,2024-09-12,Olahraga,7193437.56,Denpasar
TRX-00407,PLG-0011,2024-08-20,Elektronik,58675587.53,Bandung
TRX-00408,PLG-0016,2024-03-01,Makanan,501562.05,Yogyakarta
TRX-00409,PLG-0046,2024-06-18,Fashion,1166322.23,Surabaya
TRX-00410,PLG-0048,2024-07-15,Kesehatan,3483506.02,Balikpapan
TRX-00411,PLG-0003,2024-09-29,Elektronik,8394606.43,Palembang
TRX-00412,PLG-0021,2024-06-05,Olahraga,28968050.67,Bandung
TRX-00413,PLG-0023,2024-01-09,Kesehatan,1528624.56,Palembang
TRX-00414,PLG-0004,2024-07-25,Olahraga,16442678.05,Denpasar
TRX-00415,PLG-0001,2024-04-11,Makanan,76173.61,Makassar
TRX-00416,PLG-0001,2024-02-23,Elektronik,9447803.69,Makassar
TRX-00417,PLG-0025,2024-01-27,Kesehatan,2348758.84,Denpasar
TRX-00418,PLG-0008,2024-01-19,Fashion,666333.45,Balikpapan
TRX-00419,PLG-0048,2024-11-27,Olahraga,22675095.46,Balikpapan
TRX-00420,PLG-0007,2024-09-04,Makanan,363207.64,Denpasar
TRX-00421,PLG-0047,2024-06-14,Elektronik,23286788.89,Palembang
TRX-00422,PLG-0006,2024-12-09,Kesehatan,702505.72,Yogyakarta
TRX-00423,PLG-0026,2024-09-03,Elektronik,49140392.26,Makassar
TRX-00424,PLG-0001,2024-01-14,Elektronik,42612047.76,Makassar
TRX-00425,PLG-0011,2024-04-15,Otomotif,1393929.45,Bandung
TRX-00426,PLG-0027,2024-09-24,Otomotif,3795883.87,Medan
TRX-00427,PLG-0040,2024-08-01,Otomotif,18619252.03,Semarang
TRX-00428,PLG-0029,2024-03-07,Olahraga,14979574.4,Semarang
TRX-00429,PLG-0001,2024-02-20,Elektronik,18711633.55,Makassar
TRX-00430,PLG-0005,2024-09-24,Fashion,1218017.12,Palembang
TRX-00431,PLG-0001,2024-12-02,Kesehatan,3627111.14,Makassar
TRX-00432,PLG-0001,2024-08-19,Kesehatan,5307705.66,Makassar
TRX-00433,PLG-0017,2024-02-19,Makanan,473022.97,Medan
TRX-00434,PLG-0020,2024-04-08,Fashion,2694161.67,Denpasar
TRX-00435,PLG-0025,2024-06-02,Otomotif,7207296.64,Denpasar
TRX-00436,PLG-0033,2024-07-05,Makanan,642025.69,Semarang
TRX-00437,PLG-0022,2024-01-08,Fashion,4306318.58,Palembang
TRX-00438,PLG-0027,2024-12-03,Fashion,1814679.93,Medan
TRX-00439,PLG-0001,2024-12-30,Olahraga,22101490.71,Makassar
TRX-00440,PLG-0002,2024-03-05,Elektronik,27653613.41,Denpasar
TRX-00441,PLG-0014,2024-06-08,Otomotif,6009157.29,Palembang
TRX-00442,PLG-0032,2024-08-04,Kesehatan,1040808.03,Yogyakarta
TRX-00443,PLG-0001,2024-03-25,Fashion,1167210.09,Makassar
TRX-00444,PLG-0009,2024-07-21,Makanan,231815.9,Palembang
TRX-00445,PLG-0017,2024-01-17,Elektronik,9443831.79,Medan
TRX-00446,PLG-0001,2024-10-12,Elektronik,18609398.54,Makassar
TRX-00447,PLG-0006,2024-06-08,Makanan,323265.67,Yogyakarta
TRX-00448,PLG-0037,2024-04-16,Olahraga,4234240.09,Semarang
TRX-00449,PLG-0017,2024-09-23,Olahraga,2826429.92,Medan
TRX-00450,PLG-0002,2024-11-29,Kesehatan,3775251.62,Denpasar
TRX-00451,PLG-0032,2024-08-22,Otomotif,9151885.03,Yogyakarta
TRX-00452,PLG-0004,2024-10-25,Otomotif,27458267.91,Denpasar
TRX-00453,PLG-0032,2024-09-25,Makanan,204073.83,Yogyakarta
TRX-00454,PLG-0003,2024-09-22,Elektronik,8299893.25,Palembang
TRX-00455,PLG-0012,2024-02-05,Fashion,2933155.5,Denpasar
TRX-00456,PLG-0005,2024-11-14,Otomotif,478087.83,Palembang
TRX-00457,PLG-0003,2024-10-15,Elektronik,74444159.72,Palembang
TRX-00458,PLG-0036,2024-05-14,Kesehatan,219013.93,Jakarta
TRX-00459,PLG-0002,2024-10-05,Makanan,1118123.91,Denpasar
TRX-00460,PLG-0001,2024-03-11,Kesehatan,4118725.96,Makassar
TRX-00461,PLG-0004,2024-05-28,Otomotif,44916007.29,Denpasar
TRX-00462,PLG-0020,2024-12-17,Fashion,1180564.19,Denpasar
TRX-00463,PLG-0027,2024-12-24,Fashion,3508030.16,Medan
TRX-00464,PLG-0050,2024-10-12,Kesehatan,1027503.49,Medan
TRX-00465,PLG-0003,2024-12-20,Makanan,1471918.22,Palembang
TRX-00466,PLG-0006,2024-09-02,Kesehatan,1434864.71,Yogyakarta
TRX-00467,PLG-0001,2024-11-04,Olahraga,9136214.73,Makassar
TRX-00468,PLG-0012,2024-04-14,Otomotif,5408292.83,Denpasar
TRX-00469,PLG-0050,2024-07-15,Otomotif,21290481.51,Medan
TRX-00470,PLG-0019,2024-12-15,Otomotif,31875605.52,Denpasar
TRX-00471,PLG-0013,2024-07-17,Olahraga,6826455.99,Semarang
TRX-00472,PLG-0005,2024-06-19,Fashion,689950.49,Palembang
TRX-00473,PLG-0039,2024-08-14,Fashion,5160422.9,Denpasar
TRX-00474,PLG-0009,2024-09-24,Fashion,6520891.76,Palembang
TRX-00475,PLG-0001,2024-11-07,Fashion,850845.67,Makassar
TRX-00476,PLG-0005,2024-12-17,Fashion,1296941.11,Palembang
TRX-00477,PLG-0001,2024-06-14,Olahraga,27936346.99,Makassar
TRX-00478,PLG-0002,2024-11-16,Otomotif,22224165.81,Denpasar
TRX-00479,PLG-0001,2024-03-06,Olahraga,6959952.66,Makassar
TRX-00480,PLG-0007,2024-02-29,Fashion,867907.99,Denpasar
TRX-00481,PLG-0015,2024-04-26,Elektronik,8905656.96,Semarang
TRX-00482,PLG-0004,2024-06-18,Olahraga,5177447.52,Denpasar
TRX-00483,PLG-0006,2024-05-28,Makanan,298838.04,Yogyakarta
TRX-00484,PLG-0045,2024-05-13,Elektronik,54823231.53,Surabaya
TRX-00485,PLG-0023,2024-07-29,Elektronik,30542788.48,Palembang
TRX-00486,PLG-0010,2024-12-21,Fashion,1097534.52,Surabaya
TRX-00487,PLG-0003,2024-09-13,Kesehatan,526712.32,Palembang
TRX-00488,PLG-0037,2024-01-04,Otomotif,15844831.83,Semarang
TRX-00489,PLG-0002,2024-04-02,Olahraga,5176855.11,Denpasar
TRX-00490,PLG-0004,2024-03-22,Kesehatan,2217938.02,Denpasar
TRX-00491,PLG-0038,2024-10-30,Olahraga,24959091.28,Bandung
TRX-00492,PLG-0010,2024-02-16,Elektronik,25977366.31,Surabaya
TRX-00493,PLG-0022,2024-03-18,Otomotif,14942802.12,Palembang
TRX-00494,PLG-0013,2024-05-20,Kesehatan,2696567.97,Semarang
TRX-00495,PLG-0016,2024-11-19,Olahraga,8215459.65,Yogyakarta
TRX-00496,PLG-0003,2024-11-04,Elektronik,3211438.27,Palembang
TRX-00497,PLG-0002,2024-03-01,Elektronik,8845781.29,Denpasar
TRX-00498,PLG-0004,2024-11-04,Fashion,3797342.36,Denpasar
TRX-00499,PLG-0002,2024-08-08,Elektronik,8909774.2,Denpasar
TRX-00500,PLG-0034,2024-12-07,Fashion,5238662.69,Jakarta
